Q,A
첫사랑이자 5년연애,우리는 함께 많은 시간을 보냈다고 생각합니다.
사랑하지만 그리워,그리우면 그립다고 말해보세요.
썸 기준이 뭐야,그것은 고백의 첫 단계입니다.
술이 많아요,혼자 힘들어하지 마세요.
좋아하는 사람한테 닮은 사람 봤다고 카톡 보내볼까?,대화를 계속할 수 있는 방법입니다.
난 괜찮아!,괜찮은 사람이고 괜찮아질 거예요.
나는 괜찮다!!,그는 좋은 사람이고 괜찮을 거야
어제 여자친구의 학교에 갔어요.,남의 학교 이제 가지 마세요.
어제 헤어진 여친 학교 다녀 왔어.,이제 다른 사람의 학교에 가지 마세요.
여자친구가 있어 나한테는 감정이 없어,상처받고 있다고 말해보세요.
여자친구가 감정없이 카톡 답장해,다쳤다고 말해
난 사랑에 빠진다는 걸 이해하지 못한다.,짝사랑 앞에 장사 없지요.
연예인이 되는 게 피곤해?,아무래도 사생활이 적으니까요.
"언제든, 언제든.",위로가 되지 않을 때가 있어요.
"어떤 날도, 어떤 말도",위로를 받을 수 없는 때가 있습니다.
언젠가는 일어날 예정이었어,곧 설레는 순간이 올 거예요.
설레였던게 언젠인지,얼마 지나지 않아.
당신은 많은 여자친구와 헤어질 거 야?,헤어져야하는 건 아니지만 신경이 쓰일 것 같아요.
좋아하는 여자랑 친해지는 방법 좀 알려줘.,저는 그의 관심사에 대해 얘기하고 싶습니다.
왜 타는 거야?,사귀기 전에 마음을 확인하는 단계라서 그렇지 않을까요?
썸은 왜 타?,데이트를 하기 전에 마음을 확인하는 방법이죠?
제 가장 좋아하는 이야기 중 하나입니다.,힘들겠지만 제게 말해보세요.
혼자 좋아하는 이야기.,힘들겠지만 말해줘
사랑이 싹 트고 있어,그리고 그 과정 자체가 아름답습니다.
잊어볼 마음에 다른 여자 만나고왔습니다.,사람들은 때때로 사람들이로 잊혀집니다.
우리가 헤어졌지 2개월이 지났어요,아직 그립겠지만 괜찮아 질 거예요.
헤어진지 벌써 두달이 다되가지만.,널 그리워할 거야 하지만 괜찮아질 거야
먹먹함,가슴 끝이야
계속 방학이면 좋을텐데,아주 짧은 휴가입니다.
내가 전화하면 후회할 거야,달라지는게 없다면 후회할 거예요.
프로필 사진을 바꿀 수 있나요?,원하는대로 해보세요.
프로필 사진 바꿀까,네가 원하는 대로 해
너무 답답해서 글올려,그게 좋은 방법이죠.
우린 2개월 넘게 분리됐고 한 달 넘게 만나지 못했어요,기억의 저편으로 남겨두세요.
이별한지 두달이 넘고 얼굴 안본지 한달이 넘은,기억의 다른 쪽으로 남겨두세요.
널 소개하고 엿먹을 거야,친구로서와 이성으로서 보는 눈이 달랐나봐요.
소개팅 해주고 욕먹음,저는 친구로서의 시각과 합리주의자로서의 시각이 다르다고 생각합니다.
혼자 살고 싶어요.,돈을 모아 땅을 사세요.
단독주택 살고 싶어,돈을 모아 토지를 사세요.
내 5년 간의 관계는 끝났어,한동안 많이 힘들지도 몰라요. 맘고생 많았어요.
5년 연애가 끝났습니다.,잠시 동안 힘들었을지도 모릅니다.
과일 안 먹게 돼,하지만 먹으세요.
내 얼굴을 읽을 수 있어,포커페이스를 유지해보세요.
왜 그렇게 말했어?,자신에게 물어보세요.
왜그랬어?,스스로 물어봐.
솔직하게 말해야 해요,잘 전달할 수 있을 거예요.
똑 부러지게 말해야지,잘 소통할 수 있을 겁니다.
잘 맞는 사람 만나고 싶다,많은 사람들이 그것을 충족시킵니다.
내가 친구들 싫어하는 커플을 좋아하는 유일한 사람이라면 연락해도 괜찮아?,다른 사람들이 별로라고 말하는 이유를 생각해보세요.
내 친구들이 다 별로라고 하는 짝녀 나만 좋다면 연락하는게 맞는걸까?,왜 다른 사람들이 그렇지 않다고 말하는지 생각해보세요.
혼자 술을 마실 곳이 없을까요?,어디서든 혼자 술 마실 수 있어요.
혼자 술 마실만한 장소 없을까?,어디든 혼자 마실 수 있어요.
그게 내가 할 일이야,아프면 안 돼요. 그럼 제 마음이 아파요.
이제 이론적이냐?,생각을 정리해 보는 건 어떨까요.
장난할 사람이 없어,혼자도 함께도 잘 지내는 게 좋죠.
놀아 줄 사람이 없어,혼자나 함께 있으면 좋죠.
매번 글쓸때마다 상황설명하라고 해,많은 대화를 나누는 것이 좋습니다.
나 화장을 너무 못해,그렇게 하면 증가합니다.
너무 고통스럽고 외롭다.,좋은 사람 만나보세요.
너무 아파 외로워,좋은 사람을 만나라
좋아하지만 힘들어서 헤어지자고 먼저 얘기했어,정말 힘든 고백이 아닐까요?
오늘 제가 2년 전에 그녀에게 고백한 날입니다.,아픔을 헤아려도 달라지는 건 없어요.
오늘은 2년전 그녀에게 고백했던날,통증을 계산하는 게 다르지 않아요.
언젠가는 끝납니다.,끝은 항상 존재하니까요.
언젠가는 끝,끝은 항상 존재하기 때문입니다.
운동하면 뭐 하나,다이어트에 따라 노력하세요.
내게 고백해,성공하길 바랄게요.
고백,성공하길 바랍니다.
커플은 우리들 사이에서 매우 인기가 있습니다.,사람들 보는 눈이 비슷하죠.
짝녀가 우리 과에서 인기가 너무 많아.,사람들은 비슷한 눈을 가지고 있습니다.
너무 오래 됐어,사랑의 시작하고 있나봐요.
오랜만에가슴이뛰어,사랑하기 시작한 것 같아요.
내 여자친구는 너무 높다.,깔창이 있잖아요.
여자친구가 키가 너무 커,구멍이 있어요
내 전 남자친구가 생일이야,이제는 잊어버리는 것도 필요해요.
전남자친구 생일,이제 잊어야 합니다.
집중하지 마,잠시 쉬어도 괜찮습니다.
여자친구와 헤어진 지 1년이 지났지만 아직도 잊을 수 없습니다.,언젠간 결정을 내려야하는 시기가 올 거예요.
여친이랑 헤어진지 1년째인데 아직도 못잊네.,당신이 결정해야 할 때가 올 것입니다.
전남친이 만나자고 합니다.,다시 연결하기가 더 어렵습니다.
연락이 안 돼,연락이 중요한 시기인데요.
썸남이 연락이 안돼,의사소통을 위한 중요한 시간입니다.
집착적인데 그가 어떻게 생각할지 모르겠어,상대가 그렇게 느낀다면요.
집착같은데 걔는 뭐라고 생각할까,당신이 그렇게 느끼면.
우리가 헤어졌지 일주일 됐어,긴 시간이었을거라 생각해요.
아무도 알 수 없으면 좋겠어,저 나가면 될까요?
아무도 모르게 있고 싶어,나 나갈 수 있어?
사랑하는 것을 포기하는 건 어렵지만 혼란스러워요,확실한 의사 표시를 해보는 건 어떨까요.
왠지 담담하네,저는 사퇴의 순간이 있었다고 생각합니다.
4시간 동안 작업했습니다.,많은 결심이 있었겠어요.
저는 4시간에 걸쳐서 정리를 했습니다,저는 많은 결정을 내렸을 겁니다.
저는 2개월마다 새로운 소개를 하고 있습니다.,새로운 시작 응원해요.
이별 2달째에 새로운 소개팅했습니다.,다시 시작하는 것을 권장합니다.
스노클링은 재미있나요?,즐거운 도전이 될 거예요.
스노클링 재미있을까?,재밌는 도전이 될 겁니다.
내가 결혼할 수 있어?,마음가는대로 해보세요.
결혼해도 될까?,네가 원하는 대로 해
난 그놈 없이 잘 지내려고 해요,잘 지낼 수 있을 거예요.
사랑보다 낫다.,사귀기 전 두근거림을 좋아하나 봐요.
맥주 한 캔마시며.,해답을 해봅시다.
진짜로요,진심이 꼭 전해질 거예요.
몸매가 탄탄하면 좋은데,운동을 해봅시다.
두번 이별하는 느낌입니다 하,정말 화가 나겠죠.
전화 청구서가 깨졌어요.,조심했어야죠!
핸드폰 액정 깨짐,조심해야 했어!
평생 내꺼일거 같아서 함부로 했습니다.,같은 실수를 하지 않기를 바랍니다.
바람.,고쳐 쓸 수 없는 버릇이에요.
바람,고칠 수 없는 습관입니다.
한 달 9일이 지났어요,아직 잊지 못했나봐요.
한달하고 9일째,아직 잊지 않은 것 같아요.
오디션으로 가자,도전 응원합니다.
오디션 나가볼까,우리는 도전을 지지합니다.
낯선 사람과 사랑에 빠진 남자를 어떻게 접근할 수 있을까요?,많이 만날 수 있는 계기를 만들어보세요.
짝사랑 하는 남자가 외국인인데 어떻게 다가갈 수 있을까?,많은 사람들을 만날 수 있는 계정을 만들어 보세요.
왕따된 거 같아,선생님에게 도움을 요청하세요.
배터리 충전기를 가져오지 않았어,충전할 곳을 찾아보세요.
베터리 충전기도 안 가져 왔네,충전할 곳을 찾아
이번 크리스마스에는 눈이 내리는가?,눈이 오면 좋겠네요.
이번 크리스마스에 눈이 올까,눈이 내리게 되길 바랍니다.
그녀는 이별했지만 전 아직 슬픈진행중,사랑으로 변하기를 바랍니다.
나만 좋아하는 것 같아,"이제, 적극적으로 하세요."
점심 먹으러 은행에 가야 해요,볼 일이 있나봐요.
점심 때 은행 갔다와야지,뭔가 볼 수 있을 것 같아요.
더 이상 전화를 받지 않아요,연락두절돼서 걱정되겠네요.
내가 널 사랑할수록 더 행복해,행복한 사랑을 하고 있네요.
사랑할수록 행복해,그들은 행복한 사랑을 하고 있습니다.
연락이 안 됐어 다른 전화를 기다리고 있어,이젠 당신을 돌보세요.
연락 안되서 헤어졌는데 또 연락 기다리고 있네,이제 자신을 돌봐라.
난 내 습관을 바꿀 수 없어,실패해도 조금씩 고치려고 해보세요.
습관 못 고치겠어,실패하면 조금이라도 고쳐라.
나 머리 나쁜 듯,자신을 비난하지 마세요.
너무 많아요,잘 해결되길 바랄게요.
수백번 싸우고 수백번 화해,너무 나쁘다면 헤어지는 것이 서로에게 도움이 될 수도 있습니다.
너에게 쓴다,아주 감정적이죠.
난 널 믿지 않았어,한번더 기회를 주세요.
믿는 게 아니었어,한 번 더 기회를 줘
혼자 축구를 본다.,축구 볼때는 치맥이죠.
나 혼자서 축구 본다,축구를 보면 치메크입니다.
잠깐만요,흔들리지 말아요.
나 좀 말려 줘,놔두지 마
예전엔 너무 이기적이었지만 지금은 힘들어,힘내지 않아도 돼요. 저에게 기대세요.
모르겠지만 시도해보고 있어요,모르는걸 알려면 노력해야죠.
모르겠는데 노력하래,"당신이 모르는 것을 알고 있다면, 당신은 시도해야합니다."
이제 뭘 할지 모르겠어,일기를 써보세요.
이젠 어떡해얄지 모르겠어,일기를 써라.
짝사랑 힘들어,하지만 당신이 좋아할 때까지 행복해지길 바랍니다.
썸 탈 때 꽃 선물 부담스러워 할까,꽃을 부정할 사람은 없어요.
재회 중인데 끝내야 해요,더 어려운 결정이겠네요.
재회 중인데 끝을내야하나 고민이됩니다,더 어려운 결정이 될 겁니다.
나 그대로를 사랑해줄 사람 있나,분명 그럴 겁니다.
집에 가서 각자에게 인사하라.,제가 더 떨리네요.
내 남자친구는 문제가 있어 아무 말도 하지 않을 거야,말할 때까지 조금 기다려주세요.
남자친구가 뭔가 수상한데 말을 안해,내가 말해주기 전에 잠깐만 기다려
섬유유연제 향 좋다,냄새에 대해 많은 것을 말해줍니다.
남자친구가 나를 떠날까봐 고민이야.,걱정 마
면접 때 너무 떨려,회사와 자신에 대해 더 많은 것을 배우고 자신감을 얻으십시오.
너무 많이 붙잡고 싶지만 못해요,서로를 위한 선택이길 바랄게요.
너무 잡고 싶지만 도저히 잡지 못해,둘은 서로 선택이 되길 바랍니다.
넌 내 동아리니까 내가랑 사랑을 할 수 있어?,공부랑 연애랑 둘 다 잘하고 싶은 욕심쟁이네요.
"전 먼저 인사하려고 했는데, 신부는 먼저 인사했어요.",기분 좋았겠네요.
내가 이런 것에 집착한 거야?,집착일 수도 있겠어요.
내가 집착하는 걸까?,집착이 있을지도 몰라.
마음을 정리하고 있는데 뜻밖의 남자가 카톡을 했네,해결하는 데 도움이 될지도 모릅니다.
내 나이는 어때?,나이 상관없어요.
여자친구와 함께 여행하고 싶지만 그녀의 부모는 보수적입니다.,여행 말고도 데이트할 거 많아요.
여자친구와 여행가고싶은데 부모님이 보수적이야.,여행하는 것보다 더 많은 데이트가 있습니다.
여자로 태어났다면 어떻게 했을까요?,항상 못해본 건 궁금하더라고요.
여자로 태어 났으면 어땠을까?,저는 왜 항상 그렇게 하지 않았는지 궁금했습니다.
오늘 벌금을 내야 돼,그럴 수 있을 거예요.
오늘은 결재 받아야지,우리가 할 수 있다고 생각합니다.
다음 주에 너무 무서워요,태연하게 기다릴 수 없겠네요.
다음주가 너무 무서워,임신을 기다릴 수 없어
그 사람 이상형 알고 싶어,주변 사람들에게 물어보는 게 좋을 것 같아요.
내 능력은 너무 작네,자신의 잠재력을 믿어보세요.
내 능력이 너무 모자라,자신의 잠재력을 믿으세요.
오늘 햇볕이 잘 드는군요.,광합성 추천합니다.
오늘 햇볕 좋다,광합성을 추천합니다.
이상하네 얼굴에 붙어 있어,아직 순수하다는 증거일 거예요.
어색한게 얼굴에 티 나,그것은 여전히 순수하다는 증거입니다.
우리가 헤어졌지 2주 됐어,힘든 시간을 보냈군요.
너무 오래 기다렸어,기다리는 동안 많은 생각이 들었겠네요.
나를 너무 오래 기다리게했어,기다리는 동안 많이 생각해봤을 겁니다.
